project,cell_specimen_id,link_cell_specimen,cell_specimen_name,cell_or_cluster,hemisphere,flipped,link_slice_specimen,slice_histology_well,slice_biocytin_well,slide20x_barcode ,patched_cell_container,ephys_roi_result_id,recording_date,ephys_seal_gohm,tcp_sop,ephys_qc,rna_amplification_set,rna_amplification_qc,ephys_published_at,labtracks_id,reporters,drivers,cell_reporter,structure,cortex_layer,dendrite_type,apical,pin_z_coord,nwb_ready,has_nwb_download,image_series_20x_id,image_series_20x_qc,psw_20x_annotations,layer_20x_annotations,image_series_20x_tags,link_ims_20x,check_slide,ims63x_go_no_go,ims63x_imaging_started,image_series_63x_id,image_series_63x_qc,link_ims_63x,has_morph_thumb,has_inst_thres_thumb,has_sum_thumb,has_glif1,has_glif2,has_glif3,has_glif4,has_glif5,has_biophysical,has_active_dendrite,nwb_filename,swc_filename,marker_filename,swc_published_at
mIVSCC-MET,656440106,http://lims2/specimens?id=656440106,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-366183.04.02,EPhys_180102_01_B02_M,BIOCYTIN_180109_01_B02,500366853,P8S4_180103_351_A01,656440009,1/3/2018 23:25,1.913967488,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,366183,Ai65(RCFL-tdT),Calb1-IRES2-Cre Sst-IRES-FlpO,cre reporter positive,VISp,,,,,,,657483366,qc,,,,http://lims2/focal_plane_image_series?id=657483366,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656449594,http://lims2/specimens?id=656449594,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Calb2-IRES-Cre%3BSst-IRES-FlpO%3BAi65-366183.04.02,EPhys_180102_01_B02_M,BIOCYTIN_180109_01_B02,500366853,P8S4_180103_352_A01,656449579,1/3/2018 23:51,2.400468992,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,366183,Ai65(RCFL-tdT),Calb1-IRES2-Cre Sst-IRES-FlpO,cre reporter positive,VISp,,,,,,,657483366,qc,,,,http://lims2/focal_plane_image_series?id=657483366,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656165888,http://lims2/specimens?id=656165888,Chat-IRES-Cre-neo;Ai14-365769.05.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-365769.05.02,EPhys_180102_01_A05_M,BIOCYTIN_180109_01_A05,500367219,P8S4_180102_353_A01,656165858,1/2/2018 22:49,1.719944192,V1 Coronal 107,auto_failed,A8S4_180111_06,passed,,365769,Ai14(RCL-tdT),Chat-IRES-Cre-neo,cre reporter positive,VISp,,,,,,,657481721,qc,,,,http://lims2/focal_plane_image_series?id=657481721,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656724366,http://lims2/specimens?id=656724366,Chat-IRES-Cre-neo;Ai14-367630.03.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367630.03.02,Ephys_180108_01_C03_M,BIOCYTIN_180116_01_C03,400157956,P2S4_180108_055_A01,656724350,1/9/2018 0:10,0.336840704,V1 Coronal 107,auto_failed,A8S4_180111_06,failed,,367630,,,cre reporter positive,VISp,,,,,,,657962492,processing,,,,http://lims2/focal_plane_image_series?id=657962492,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656728921,http://lims2/specimens?id=656728921,Chat-IRES-Cre-neo;Ai14-367630.03.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367630.03.02,Ephys_180108_01_C03_M,BIOCYTIN_180116_01_C03,400157956,P2S4_180108_056_A01,656728898,1/9/2018 0:50,2.853879808,V1 Coronal 107,auto_failed,A8S4_180111_06,failed,,367630,,,cre reporter positive,VISp,,,,,,,657962492,processing,,,,http://lims2/focal_plane_image_series?id=657962492,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656723363,http://lims2/specimens?id=656723363,Chat-IRES-Cre-neo;Ai14-367630.04.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367630.04.01,Ephys_180108_01_C02_M,BIOCYTIN_180116_01_C02,400160716,PBS4_180108_502_A01,656723301,1/9/2018 0:14,1.620077056,V1 Coronal 107,auto_failed,A8S4_180112_06,failed,,367630,,,,VISp,,,,,,,657961813,processing,,,,http://lims2/focal_plane_image_series?id=657961813,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656721986,http://lims2/specimens?id=656721986,Chat-IRES-Cre-neo;Ai14-367630.05.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367630.05.02,EPhys_180108_01_B06_M,BIOCYTIN_180116_01_B06,400159980,PAS4_180108_454_A01,656721970,1/8/2018 23:32,3.131837952,V1 Coronal 107,auto_failed,A8S4_180112_06,passed,,367630,,,cre reporter positive,VISp,,dendrite type - NA,apical - NA,,,,657959905,qc,,,,http://lims2/focal_plane_image_series?id=657959905,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656843549,http://lims2/specimens?id=656843549,Chat-IRES-Cre-neo;Ai14-367631.03.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367631.03.01,Ephys_180108_01_D01_M,BIOCYTIN_180116_01_D01,400158692,,656843534,1/9/2018 19:09,1.089341056,V1 Coronal 107,auto_failed,,,,367631,,,,,,,,,,,657964003,processing,,,,http://lims2/focal_plane_image_series?id=657964003,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656841831,http://lims2/specimens?id=656841831,Chat-IRES-Cre-neo;Ai14-367631.04.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367631.04.01,EPhys_180108_01_C06_M,BIOCYTIN_180116_01_C06,400158508,P2S4_180109_051_A01,656841814,1/9/2018 18:48,3.795527168,V1 Coronal 107,auto_failed,A8S4_180112_06,passed,,367631,,,cre reporter positive,VISp,,,,,,,657963982,qc,,,,http://lims2/focal_plane_image_series?id=657963982,,63x go,63x imaging started,670453254,image_qc_passed,http://lims2/focal_plane_image_series?id=670453254,,,,,,,,,,,,,,
mIVSCC-MET,656829939,http://lims2/specimens?id=656829939,Chat-IRES-Cre-neo;Ai14-367631.04.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367631.04.02,EPhys_180108_01_C04_M,BIOCYTIN_180116_01_C04,400158140,P8S4_180109_351_A01,656829706,1/9/2018 18:38,1.753082624,V1 Coronal 107,auto_failed,A8S4_180112_06,failed,,367631,,,cre reporter positive,VISp,,,,,,,657963346,processing,,,,http://lims2/focal_plane_image_series?id=657963346,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,656839029,http://lims2/specimens?id=656839029,Chat-IRES-Cre-neo;Ai14-367631.05.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367631.05.02,EPhys_180108_01_C05_M,BIOCYTIN_180116_01_C05,400158324,PAS4_180109_451_A01,656839014,1/9/2018 18:48,2.362490624,V1 Coronal 107,auto_failed,A8S4_180112_06,passed,,367631,,,cre reporter positive,VISp,,,,,,,657963962,qc,,,,http://lims2/focal_plane_image_series?id=657963962,,63x go,63x imaging started,670468363,image_qc_passed,http://lims2/focal_plane_image_series?id=670468363,,,,,,,,,,,,,,
mIVSCC-MET,657032658,http://lims2/specimens?id=657032658,Chat-IRES-Cre-neo;Ai14-367632.03.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.03.01,EPhys_180108_03_C03_M,BIOCYTIN_180116_03_C03,500367318,PBS4_180111_501_A01,657032643,1/11/2018 18:17,1.111839488,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,,VISp,,,,,,,657972444,qc,,,,http://lims2/focal_plane_image_series?id=657972444,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,657033914,http://lims2/specimens?id=657033914,Chat-IRES-Cre-neo;Ai14-367632.03.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.03.02,EPhys_180108_03_C06_M,BIOCYTIN_180116_03_C06,500367870,P2S4_180111_051_A01,657033546,1/11/2018 18:26,2.331705856,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,cre reporter positive,VISp,,dendrite type - NA,apical - NA,,,,657973890,qc,,,,http://lims2/focal_plane_image_series?id=657973890,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,657048112,http://lims2/specimens?id=657048112,Chat-IRES-Cre-neo;Ai14-367632.03.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.03.02,EPhys_180108_03_C06_M,BIOCYTIN_180116_03_C06,500367870,P2S4_180111_052_A01,657048097,1/11/2018 19:03,4.181263872,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,cre reporter positive,VISp,,,,,,,657973890,qc,,,,http://lims2/focal_plane_image_series?id=657973890,,63x go,63x imaging started,,,,,,,,,,,,,,,,,
mIVSCC-MET,657032464,http://lims2/specimens?id=657032464,Chat-IRES-Cre-neo;Ai14-367632.04.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.04.01,EPhys_180108_03_C04_M,BIOCYTIN_180116_03_C04,500367502,P9S4_180111_401_A01,657032424,1/11/2018 18:17,3.012964608,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,cre reporter positive,VISp,,,,,,,657973312,qc,,,,http://lims2/focal_plane_image_series?id=657973312,,63x go,63x imaging started,,,,,,,,,,,,,,,,,
mIVSCC-MET,657039903,http://lims2/specimens?id=657039903,Chat-IRES-Cre-neo;Ai14-367632.04.01.02,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.04.01,EPhys_180108_03_C04_M,BIOCYTIN_180116_03_C04,500367502,P9S4_180111_402_A01,657039698,1/11/2018 18:39,1.77864704,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,cre reporter positive,VISp,,,,,,,657973312,qc,,,,http://lims2/focal_plane_image_series?id=657973312,,63x go,63x imaging started,,,,,,,,,,,,,,,,,
mIVSCC-MET,657034159,http://lims2/specimens?id=657034159,Chat-IRES-Cre-neo;Ai14-367632.04.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.04.02,EPhys_180108_03_C02_M,BIOCYTIN_180116_03_C02,500366948,P8S4_180111_351_A01,657034014,1/11/2018 18:32,1.7583136,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,cre reporter positive,VISp,,,,,,,657971687,qc,,,,http://lims2/focal_plane_image_series?id=657971687,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,657048330,http://lims2/specimens?id=657048330,Chat-IRES-Cre-neo;Ai14-367632.05.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.05.01,EPhys_180108_03_D01_M,BIOCYTIN_180116_03_D01,500366028,PBS4_180111_502_A01,657048315,1/11/2018 19:18,1.232459264,V1 Coronal 107,auto_failed,A8S4_180119_08,failed,,367632,,,,VISp,,,,,,,657974916,qc,,,,http://lims2/focal_plane_image_series?id=657974916,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,657052400,http://lims2/specimens?id=657052400,Chat-IRES-Cre-neo;Ai14-367632.05.01.02,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.05.01,EPhys_180108_03_D01_M,BIOCYTIN_180116_03_D01,500366028,PBS4_180111_503_A01,657052385,1/11/2018 19:48,1.788772096,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,,VISp,,,,,,,657974916,qc,,,,http://lims2/focal_plane_image_series?id=657974916,,63x go,63x imaging started,,,,,,,,,,,,,,,,,
mIVSCC-MET,657054571,http://lims2/specimens?id=657054571,Chat-IRES-Cre-neo;Ai14-367632.05.01.03,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.05.01,EPhys_180108_03_D01_M,BIOCYTIN_180116_03_D01,500366028,PBS4_180111_504_A01,657054555,1/11/2018 20:20,1.548379904,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,,VISp,,,,,,,657974916,qc,,,,http://lims2/focal_plane_image_series?id=657974916,,63x go,63x imaging started,,,,,,,,,,,,,,,,,
mIVSCC-MET,657048690,http://lims2/specimens?id=657048690,Chat-IRES-Cre-neo;Ai14-367632.05.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.05.02,EPhys_180108_03_D02_M,BIOCYTIN_180116_03_D02,500367134,P8S4_180111_352_A01,657048675,1/11/2018 19:21,1.557407744,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,cre reporter positive,VISp,,dendrite type - NA,apical - NA,,,,657975444,qc,,,,http://lims2/focal_plane_image_series?id=657975444,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,657052370,http://lims2/specimens?id=657052370,Chat-IRES-Cre-neo;Ai14-367632.05.02.02,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.05.02,EPhys_180108_03_D02_M,BIOCYTIN_180116_03_D02,500367134,P8S4_180111_353_A01,657052355,1/11/2018 19:45,2.118009472,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,cre reporter positive,VISp,,,,,,,657975444,qc,,,,http://lims2/focal_plane_image_series?id=657975444,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,657042607,http://lims2/specimens?id=657042607,Chat-IRES-Cre-neo;Ai14-367632.06.02.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367632.06.02,EPhys_180108_03_C05_M,BIOCYTIN_180116_03_C05,500367686,PAS4_180111_451_A01,657042592,1/11/2018 18:50,2.577747968,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367632,,,cre reporter positive,VISp,,dendrite type - aspiny dendrite type - NA,,,,,657973604,qc,,,,http://lims2/focal_plane_image_series?id=657973604,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,657168576,http://lims2/specimens?id=657168576,Chat-IRES-Cre-neo;Ai14-367633.02.01.01,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367633.02.01,EPhys_180108_03_D04_M,BIOCYTIN_180116_03_D04,500366766,P9S4_180112_401_A01,657168527,,,V1 Coronal 107,qc,A8S4_180119_08,failed,,367633,,,cre reporter positive,VISp,,,,,,,657977040,qc,,,,http://lims2/focal_plane_image_series?id=657977040,,,,,,,,,,,,,,,,,,,,
mIVSCC-MET,657179762,http://lims2/specimens?id=657179762,Chat-IRES-Cre-neo;Ai14-367633.02.01.02,Cell,,flipped,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367633.02.01,EPhys_180108_03_D04_M,BIOCYTIN_180116_03_D04,500366766,P9S4_180112_402_A01,657179697,1/12/2018 18:03,1.864187136,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367633,,,cre reporter positive,VISp,,,,,,,657977040,qc,,,,http://lims2/focal_plane_image_series?id=657977040,,63x go,63x imaging started,,,,,,,,,,,,,,,,,
mIVSCC-MET,657183709,http://lims2/specimens?id=657183709,Chat-IRES-Cre-neo;Ai14-367633.04.02.01,Cell,,not checked,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367633.04.02,Ephys_180108_05_A01_M,BIOCYTIN_180116_05_A01,500366977,PBS4_180112_501_A01,657183563,1/12/2018 18:23,1.79609728,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367633,,,,VISp,,dendrite type - NA,apical - NA,,,,657978962,qc,,,,http://lims2/focal_plane_image_series?id=657978962,,63x no go,,,,,,,,,,,,,,,,,,
mIVSCC-MET,657184390,http://lims2/specimens?id=657184390,Chat-IRES-Cre-neo;Ai14-367633.04.02.02,Cell,,not checked,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367633.04.02,Ephys_180108_05_A01_M,BIOCYTIN_180116_05_A01,500366977,PBS4_180112_502_A01,657184367,1/12/2018 18:50,1.33372544,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367633,,,,VISp,,,,,,,657978962,qc,,,,http://lims2/focal_plane_image_series?id=657978962,,63x go,63x imaging started,,,,,,,,,,,,,,,,,
mIVSCC-MET,657185284,http://lims2/specimens?id=657185284,Chat-IRES-Cre-neo;Ai14-367633.04.02.03,Cell,,not checked,http://lims2/specimens?search[name]=Chat-IRES-Cre-neo%3BAi14-367633.04.02,Ephys_180108_05_A01_M,BIOCYTIN_180116_05_A01,500366977,PBS4_180112_503_A01,657185256,1/12/2018 19:15,1.35414144,V1 Coronal 107,auto_failed,A8S4_180119_08,passed,,367633,,,,VISp,,,,,,,657978962,qc,,,,http://lims2/focal_plane_image_series?id=657978962,,63x go,63x imaging started,,,,,,,,,,,,,,,,,
